Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,214.750000,215.750000,214.149994,215.149994,210.311432,372000
2019-08-22,215.710007,216.149994,212.850006,214.639999,209.812912,259500
2019-08-23,213.470001,215.509995,207.050003,207.789993,203.116959,625900
2019-08-26,210.369995,210.679993,208.860001,210.419998,205.687805,377200
2019-08-27,211.830002,212.179993,208.750000,209.899994,205.179520,362400
2019-08-28,208.770004,210.380005,207.160004,210.000000,205.277237,300700
2019-08-29,212.839996,214.350006,212.289993,213.699997,208.894043,415900
2019-08-30,214.990005,215.220001,211.960007,213.559998,208.757202,317500
2019-09-03,211.960007,212.639999,210.149994,210.929993,206.186325,460500
2019-09-04,213.220001,214.580002,213.059998,214.580002,209.754242,250900
2019-09-05,217.270004,219.770004,217.199997,218.919998,213.996658,438800
2019-09-06,219.410004,219.520004,218.199997,218.610001,213.693619,274900
2019-09-09,219.490005,219.669998,215.630005,216.929993,212.051422,700400
2019-09-10,215.720001,215.850006,213.300003,215.850006,210.995712,439600
2019-09-11,216.389999,218.199997,215.940002,218.070007,213.165787,290400
2019-09-12,219.500000,221.000000,218.350006,219.089996,214.162827,1673200
2019-09-13,218.880005,219.000000,217.369995,217.539993,212.647659,284900
2019-09-16,215.869995,217.770004,215.460007,217.330002,212.442413,291000
2019-09-17,217.429993,218.250000,217.009995,218.110001,213.204880,196400
2019-09-18,217.929993,218.289993,215.250000,218.229996,213.322159,277800
2019-09-19,218.839996,220.559998,218.369995,218.720001,213.801147,467400
2019-09-20,219.389999,219.440002,215.550003,216.399994,211.533325,364000
2019-09-23,216.250000,217.529999,215.699997,216.880005,212.002533,296200
2019-09-24,218.139999,219.000000,213.630005,214.429993,209.607620,543100
2019-09-25,214.210007,217.619995,212.229996,216.990005,212.110062,351000
2019-09-26,216.169998,217.039993,214.800003,216.360001,212.310226,262100
2019-09-27,216.600006,216.679993,211.610001,213.220001,209.229019,518600
2019-09-30,214.050003,216.000000,213.699997,215.550003,211.515381,356900
2019-10-01,216.509995,217.910004,213.389999,213.610001,209.611710,522300
2019-10-02,212.179993,212.300003,208.009995,209.610001,205.686584,601600
2019-10-03,209.520004,212.339996,206.919998,212.320007,208.345871,504500
2019-10-04,213.639999,216.119995,213.630005,215.910004,211.868652,397900
2019-10-07,215.169998,216.899994,214.979996,215.229996,211.201401,347200
2019-10-08,213.720001,214.020004,210.940002,211.050003,207.099655,481300
2019-10-09,213.160004,214.839996,212.850006,214.059998,210.053268,362300
2019-10-10,213.960007,216.270004,213.940002,215.350006,211.319138,326800
2019-10-11,217.880005,220.429993,217.880005,218.500000,214.410187,782700
2019-10-14,218.270004,219.259995,218.250000,218.490005,214.400375,283200
2019-10-15,219.119995,221.309998,218.940002,220.759995,216.627869,384900
2019-10-16,219.440002,219.440002,217.979996,218.830002,214.733994,352200
2019-10-17,219.770004,220.160004,217.479996,218.619995,214.527924,326700
2019-10-18,218.190002,218.449997,214.809998,216.309998,212.261154,317700
2019-10-21,217.539993,218.639999,216.889999,218.479996,214.390549,240400
2019-10-22,218.979996,219.669998,215.449997,215.520004,211.485947,353300
2019-10-23,215.000000,216.029999,214.500000,215.740005,211.701828,246700
2019-10-24,218.000000,219.179993,217.360001,219.039993,214.940048,255700
2019-10-25,219.000000,221.809998,219.000000,221.679993,217.530640,274400
2019-10-28,223.220001,224.479996,223.130005,224.220001,220.023102,862500
2019-10-29,224.169998,224.490005,222.399994,222.399994,218.237152,295800
2019-10-30,223.039993,224.100006,221.699997,223.899994,219.709076,348300
2019-10-31,224.380005,224.410004,222.289993,223.639999,219.453964,343200
2019-11-01,224.580002,226.550003,224.130005,226.550003,222.309509,569000
2019-11-04,228.350006,228.449997,227.229996,227.580002,223.320236,370600
2019-11-05,228.229996,228.229996,226.600006,227.360001,223.104340,476800
2019-11-06,227.369995,227.369995,226.029999,227.130005,222.878616,353800
2019-11-07,228.759995,230.229996,228.369995,228.970001,224.684204,442700
2019-11-08,228.270004,230.199997,227.460007,230.199997,225.891174,340800
2019-11-11,228.889999,230.729996,228.610001,230.490005,226.175751,323200
2019-11-12,230.690002,232.000000,230.179993,231.220001,226.892105,386700
2019-11-13,230.229996,231.889999,230.220001,231.740005,227.402374,298200
2019-11-14,230.910004,231.559998,230.300003,231.460007,227.127594,450700
2019-11-15,232.979996,233.399994,232.350006,233.389999,229.021484,320200
2019-11-18,233.279999,234.360001,232.399994,233.940002,229.561172,342000
2019-11-19,234.809998,235.339996,233.660004,234.710007,230.316772,599100
2019-11-20,234.070007,234.949997,231.649994,233.479996,229.109772,809600
2019-11-21,233.270004,233.279999,231.740005,232.210007,227.863556,363000
2019-11-22,232.990005,233.330002,231.190002,232.149994,227.804688,345400
2019-11-25,233.130005,235.600006,232.789993,235.559998,231.150848,2035000
2019-11-26,235.660004,236.320007,235.360001,235.690002,231.278427,461700
2019-11-27,236.490005,237.149994,235.850006,237.149994,232.711075,321500
